word,nr. of tokens,tokens,word score
lauren,2,la_##uren,-25.759572982788086
lauro,2,la_##uro,-26.119210243225098
lautner,3,la_##ut_##ner,-30.857882499694824
lava,1,lava,-14.174503326416016
lavatory,2,lava_##tory,-32.298912048339844
lavender,2,la_##vender,-23.222314834594727
lavishing,2,lavish_##ing,-26.143373489379883
lavishly,2,lavish_##ly,-22.8194580078125
law,1,law,-11.846434593200684
lawful,2,law_##ful,-23.15315341949463
lawmaking,2,law_##making,-23.245092391967773
lawman,2,law_##man,-23.279187202453613
lawmen,2,law_##men,-23.595928192138672
lawn,1,lawn,-14.030314445495605
lawns,2,lawn_##s,-23.81855010986328
lawrence,3,law_##ren_##ce,-31.52248191833496
laws,1,laws,-12.423151969909668
lawyer,1,lawyer,-12.893187522888184
lawyers,1,lawyers,-13.307011604309082
lax,2,la_##x,-21.663517951965332
laxative,3,la_##xa_##tive,-29.831830501556396
laxness,3,la_##x_##ness,-27.858352661132812
lay,1,lay,-12.01217269897461
layer,1,layer,-14.136215209960938
layering,2,layer_##ing,-22.752751350402832
layers,1,layers,-14.184080123901367
layette,2,lay_##ette,-26.317578315734863
laying,1,laying,-14.229146957397461
layman,2,lay_##man,-24.173049926757812
layoffs,2,lay_##offs,-29.987526893615723
layout,1,layout,-12.829168319702148
lays,1,lays,-14.759339332580566
lazy,1,lazy,-14.58855152130127
lb,1,lb,-11.652904510498047
lbs,1,lbs,-13.565150260925293
le,1,le,-11.762075424194336
lead,1,lead,-10.95136547088623
leaded,2,lead_##ed,-25.93953037261963
leader,1,leader,-12.394388198852539
leaders,1,leaders,-13.303792953491211
leadership,1,leadership,-12.965486526489258
leading,1,leading,-12.430782318115234
leads,1,leads,-12.844701766967773
leaf,1,leaf,-12.325152397155762
leafiest,2,leaf_##iest,-25.40527629852295
leaflet,2,leaf_##let,-21.39330768585205
leaflets,2,leaf_##lets,-21.615053176879883
leafmold,3,leaf_##mo_##ld,-30.85242462158203
league,1,league,-12.080391883850098
leaguers,2,league_##rs,-23.320073127746582
leagues,1,leagues,-13.845402717590332
leaked,1,leaked,-14.404129028320312
leaks,2,leak_##s,-20.290749073028564
leaky,2,leak_##y,-24.4752140045166
leale,2,le_##ale,-23.79776668548584
leamington,4,le_##ami_##ng_##ton,-41.834577560424805
lean,1,lean,-12.755257606506348
leaned,1,leaned,-12.097213745117188
leaning,1,leaning,-13.107660293579102
leans,1,leans,-13.724406242370605
leap,1,leap,-14.165633201599121
leaped,1,leaped,-14.54869270324707
leapfrog,3,leap_##f_##rog,-28.854101181030273
leaps,2,leap_##s,-23.45172882080078
leapt,1,leapt,-14.381612777709961
lear,2,le_##ar,-23.034215927124023
learn,1,learn,-13.212908744812012
learned,1,learned,-13.28061580657959
learners,2,learn_##ers,-25.294330596923828
learning,1,learning,-13.425243377685547
learns,1,learns,-14.350578308105469
lease,1,lease,-12.876401901245117
leased,1,leased,-13.698530197143555
leases,2,lease_##s,-21.04257106781006
least,1,least,-10.846382141113281
leather,1,leather,-11.902081489562988
leathers,2,leather_##s,-23.699970245361328
leave,1,leave,-10.88593864440918
leavened,2,leave_##ned,-24.037446975708008
leaves,1,leaves,-11.127232551574707
leaving,1,leaving,-11.953518867492676
leavitt,3,le_##avi_##tt,-30.650724411010742
lecky,2,le_##cky,-25.77963352203369
leclair,3,le_##c_##lair,-33.30186223983765
lecture,1,lecture,-13.694788932800293
lecturer,1,lecturer,-13.497467994689941
lectures,1,lectures,-13.796173095703125
lecturing,3,le_##ct_##uring,-28.936235427856445
led,1,led,-11.745512008666992
ledford,2,led_##ford,-25.64829444885254
ledge,1,ledge,-14.269794464111328
ledger,2,ledge_##r,-25.132580757141113
ledgers,2,ledge_##rs,-26.312321662902832
ledoux,2,led_##oux,-27.59297275543213
lee,2,le_##e,-19.169147491455078
leered,2,le_##ered,-24.485268592834473
leesona,3,le_##eson_##a,-28.5162615776062
leet,2,le_##et,-22.23819351196289
leeway,3,le_##ew_##ay,-23.991334915161133
left,1,left,-10.037493705749512
lefty,2,left_##y,-21.379084587097168
leg,1,leg,-12.657569885253906
legacies,3,leg_##ac_##ies,-30.020095825195312
legacy,1,legacy,-13.99913215637207
legal,1,legal,-11.854731559753418
legality,2,legal_##ity,-22.20027446746826
legalized,2,legal_##ized,-23.09824562072754
legation,2,leg_##ation,-27.448323249816895
legations,2,leg_##ations,-28.60048770904541
legend,1,legend,-14.228631973266602
legendary,1,legendary,-14.448783874511719
legends,1,legends,-15.398988723754883
legged,1,legged,-14.517566680908203
leggings,3,leg_##ging_##s,-28.227988243103027
legion,2,leg_##ion,-26.418298721313477
legislate,3,leg_##is_##late,-38.73144817352295
legislated,3,leg_##is_##lated,-36.779805183410645
legislation,1,legislation,-13.563227653503418
legislative,1,legislative,-14.057516098022461
legislators,1,legislators,-15.273744583129883
legislature,1,legislature,-13.825157165527344
legitimacy,1,legitimacy,-14.782200813293457
legitimate,1,legitimate,-14.735708236694336
legs,1,legs,-11.641067504882812
legume,2,leg_##ume,-28.138895988464355
leguminous,2,leg_##uminous,-31.772517204284668
lehmann,2,le_##hmann,-26.84298801422119
leisure,1,leisure,-14.495590209960938
leisurely,2,leisure_##ly,-25.53636074066162
leland,2,le_##land,-22.350605010986328
lemma,2,le_##mma,-22.34145164489746
