word,nr. of tokens,tokens,word score
thorn,2,th_##orn,-25.59407615661621
thornburg,3,th_##orn_##burg,-37.66110324859619
thorny,3,th_##orn_##y,-32.9691801071167
thorough,1,thorough,-14.077756881713867
thoroughfares,3,thorough_##fare_##s,-36.62448024749756
thoroughly,1,thoroughly,-14.025004386901855
those,1,those,-11.112289428710938
thou,1,thou,-13.651474952697754
though,1,though,-10.065116882324219
thought,1,thought,-10.493013381958008
thoughtful,1,thoughtful,-14.07303237915039
thoughtfully,1,thoughtfully,-14.882564544677734
thoughtfulness,2,thoughtful_##ness,-27.467302322387695
thoughts,1,thoughts,-12.31808853149414
thousand,1,thousand,-11.460322380065918
thousands,1,thousands,-11.926091194152832
thousandth,2,thousand_##th,-25.629833221435547
thrashed,3,th_##rash_##ed,-36.042558670043945
thread,1,thread,-13.018594741821289
threaded,2,thread_##ed,-26.344056129455566
threading,2,thread_##ing,-26.593029022216797
threads,1,threads,-13.555974006652832
threat,1,threat,-12.16204833984375
threaten,1,threaten,-14.109604835510254
threatened,1,threatened,-12.425148963928223
threatening,1,threatening,-13.732611656188965
threateningly,2,threatening_##ly,-26.212017059326172
threatens,1,threatens,-13.834226608276367
threats,1,threats,-12.493535995483398
three,1,three,-9.08426570892334
threefold,2,three_##fold,-25.80741596221924
threes,2,three_##s,-20.123523712158203
threshed,3,th_##resh_##ed,-34.295881271362305
threshhold,3,th_##resh_##hold,-36.88589382171631
threshold,1,threshold,-13.391427993774414
threw,1,threw,-12.308191299438477
thrifty,3,th_##rift_##y,-32.700822830200195
thrill,1,thrill,-14.250962257385254
thrilled,1,thrilled,-15.756213188171387
thrilling,2,thrill_##ing,-28.099733352661133
thrived,3,th_##rive_##d,-33.76895618438721
thriving,1,thriving,-14.68272590637207
throat,1,throat,-12.309598922729492
throats,2,throat_##s,-22.083199501037598
throaty,2,throat_##y,-21.554899215698242
throbbed,3,th_##ro_##bbed,-36.652347564697266
throbbing,1,throbbing,-14.089250564575195
throes,3,th_##ro_##es,-31.753363609313965
throne,1,throne,-13.737122535705566
throneberry,2,throne_##berry,-27.427833557128906
throng,2,th_##rong,-27.351187705993652
throttle,3,th_##rot_##tle,-38.28962516784668
through,1,through,-9.712894439697266
throughout,1,throughout,-11.226758003234863
throw,1,throw,-12.37700080871582
throwed,2,throw_##ed,-25.454797744750977
throwing,1,throwing,-12.83670425415039
thrown,1,thrown,-12.825972557067871
throws,1,throws,-12.967723846435547
thru,2,th_##ru,-28.0615873336792
thrust,1,thrust,-13.383661270141602
thrusting,1,thrusting,-15.268292427062988
thrusts,2,thrust_##s,-23.92361545562744
thruway,3,th_##ru_##way,-37.88061046600342
thud,1,thud,-13.413442611694336
thudding,2,thud_##ding,-28.61330223083496
thumb,1,thumb,-12.488784790039062
thumbed,2,thumb_##ed,-26.067790985107422
thumbnail,2,thumb_##nail,-28.80681324005127
thump,1,thump,-13.978473663330078
thumping,2,thump_##ing,-27.527644157409668
thunder,1,thunder,-12.822454452514648
thunderclaps,4,thunder_##c_##lap_##s,-43.87653923034668
thundered,2,thunder_##ed,-26.722817420959473
thunk,2,th_##unk,-25.352078437805176
thurber,3,th_##ur_##ber,-36.77441215515137
thursday,3,th_##urs_##day,-37.170488357543945
thus,1,thus,-12.800819396972656
thy,1,thy,-13.635757446289062
thyroglobulin,5,thy_##rog_##lo_##bul_##in,-64.51283264160156
thyroid,2,thy_##roid,-31.937755584716797
thyrotrophic,4,thy_##rot_##rop_##hic,-55.669837951660156
thyrotrophin,4,thy_##rot_##rop_##hin,-53.51067924499512
thyroxine,4,thy_##ro_##xin_##e,-45.36040782928467
tiao,3,t_##ia_##o,-30.686556339263916
tiber,2,t_##iber,-24.620694160461426
tibet,3,t_##ibe_##t,-30.87806749343872
tibetan,3,t_##ibe_##tan,-35.58195352554321
tiburon,3,t_##ib_##uron,-35.56870126724243
tick,2,t_##ick,-22.806614875793457
ticker,2,t_##icker,-23.045823097229004
ticket,1,ticket,-13.963220596313477
tickets,1,tickets,-14.19064998626709
ticonderoga,4,t_##ico_##nder_##oga,-48.71627902984619
tidbits,4,t_##id_##bit_##s,-37.18517208099365
tide,1,tide,-13.23522663116455
tides,2,tide_##s,-23.93043804168701
tidewater,2,tide_##water,-28.958799362182617
tidiness,3,t_##id_##iness,-34.35287618637085
tidings,3,t_##iding_##s,-30.73692560195923
tie,1,tie,-13.16337776184082
tied,1,tied,-12.689460754394531
tiepolo,3,tie_##pol_##o,-34.96244144439697
tiered,2,tier_##ed,-26.960719108581543
ties,1,ties,-13.37809944152832
tigard,3,t_##iga_##rd,-36.2521710395813
tiger,1,tiger,-14.046119689941406
tight,1,tight,-12.201629638671875
tighten,1,tighten,-14.914743423461914
tightened,1,tightened,-13.63868522644043
tightening,1,tightening,-15.210817337036133
tighter,1,tighter,-13.86673641204834
tightest,2,tight_##est,-25.296199798583984
tightly,1,tightly,-13.51727294921875
tijuana,4,t_##i_##ju_##ana,-46.71395778656006
tile,1,tile,-12.524591445922852
tiles,1,tiles,-12.866697311401367
tilghman,3,til_##gh_##man,-34.857749462127686
till,1,till,-12.189742088317871
tillie,2,till_##ie,-26.10562229156494
tilling,2,till_##ing,-26.03679084777832
tilt,1,tilt,-14.336143493652344
tilted,1,tilted,-13.802579879760742
tilth,2,tilt_##h,-26.953065872192383
tim,2,t_##im,-23.849417686462402
timber,1,timber,-13.478497505187988
timbered,2,timber_##ed,-26.762845039367676
timberlands,2,timber_##lands,-30.306726455688477
timbers,2,timber_##s,-23.921143531799316
timbre,3,t_##im_##bre,-34.58293390274048
time,1,time,-9.830507278442383
timed,1,timed,-15.045516967773438
timeless,2,time_##less,-23.074398040771484
timeliness,2,timeline_##ss,-30.411821365356445
timely,2,time_##ly,-22.086986541748047
times,1,times,-11.547053337097168
timetable,1,timetable,-13.802505493164062
timid,3,t_##im_##id,-33.90821313858032
timidly,4,t_##im_##id_##ly,-43.049851417541504
timing,1,timing,-13.578143119812012
timothy,3,t_##imo_##thy,-39.166088581085205
tin,1,tin,-13.072114944458008
tincture,2,tin_##cture,-29.119728088378906
tinder,2,tin_##der,-27.61984634399414
tines,2,tin_##es,-26.11878776550293
tingling,1,tingling,-14.975273132324219
tiniest,2,tin_##iest,-27.36961555480957
tinkers,2,tin_##kers,-29.543912887573242
tinkling,2,tin_##kling,-29.771188735961914
tinplated,3,tin_##plate_##d,-35.77239418029785
tinsel,2,tin_##sel,-29.49235725402832
tintable,2,tin_##table,-29.787372589111328
tintype,2,tin_##type,-30.25320053100586
tiny,1,tiny,-12.051815032958984
tip,1,tip,-12.444087982177734
tipped,1,tipped,-13.613656044006348
tipping,2,tip_##ping,-27.682848930358887
tips,1,tips,-13.005254745483398
tire,1,tire,-13.657684326171875
tired,1,tired,-13.094383239746094
tiredness,2,tired_##ness,-26.529659271240234
tireless,2,tire_##less,-27.534154891967773
tirelessly,2,tire_##lessly,-30.90410804748535
tires,1,tires,-12.37873363494873
tiresome,2,tires_##ome,-27.650574684143066
tiring,2,t_##iring,-26.680150032043457
tissue,1,tissue,-13.283255577087402
tissues,1,tissues,-14.157173156738281
titan,3,t_##ita_##n,-30.40846872329712
titanium,3,t_##ita_##nium,-35.37286043167114
titer,2,t_##iter,-23.39944362640381
titers,3,t_##iter_##s,-28.77174711227417
title,1,title,-11.893996238708496
titled,1,titled,-12.500608444213867
titles,1,titles,-13.574426651000977
tits,2,t_##its,-25.914177894592285
titter,3,t_##itte_##r,-32.083744525909424
titters,3,t_##itte_##rs,-34.36080598831177
tizard,3,t_##iza_##rd,-37.13251352310181
tjokorda,4,t_##jo_##kor_##da,-44.46237850189209
tnt,2,t_##nt,-21.47650146484375
to,1,to,-6.7095136642456055
toast,1,toast,-14.604677200317383
tobacco,1,tobacco,-14.722087860107422
today,1,today,-11.274658203125
todd,2,to_##dd,-21.912936687469482
toddlers,3,to_##ddler_##s,-28.628957748413086
todman,2,to_##dman,-22.001574993133545
toe,1,toe,-13.406021118164062
toes,1,toes,-14.669170379638672
together,1,together,-10.967706680297852
toilet,1,toilet,-13.318037033081055
token,1,token,-14.732723236083984
tokens,2,token_##s,-25.374032974243164
tokyo,3,to_##ky_##o,-27.27893352508545
told,1,told,-10.074645042419434
tolerate,1,tolerate,-14.15626335144043
tolerated,2,tolerate_##d,-26.908469200134277
toleration,3,to_##ler_##ation,-34.05717468261719
toll,1,toll,-13.695255279541016
tolled,2,toll_##ed,-27.22698211669922
tolley,2,toll_##ey,-27.261415481567383
tollhouse,2,toll_##house,-28.74094867706299
tom,2,to_##m,-18.9533429145813
tomato,1,tomato,-14.196329116821289
tomatoes,2,tomato_##es,-27.248255729675293
tomb,1,tomb,-14.091606140136719
tombigbee,3,tomb_##ig_##bee,-42.64318084716797
tomblike,2,tomb_##like,-29.012676239013672
tombstones,2,tombs_##tones,-31.786117553710938
tommy,2,to_##mmy,-23.45392370223999
tomorrow,1,tomorrow,-13.128059387207031
ton,1,ton,-13.093798637390137
tonal,2,ton_##al,-26.482067108154297
tonalities,3,ton_##ali_##ties,-38.92901039123535
tonally,2,ton_##ally,-28.585684776306152
tone,1,tone,-12.440739631652832
toner,2,tone_##r,-23.651689529418945
tones,1,tones,-14.121773719787598
tongs,2,ton_##gs,-28.473450660705566
tongue,1,tongue,-12.234077453613281
tongues,1,tongues,-14.454692840576172
toni,2,ton_##i,-25.690417289733887
tonight,1,tonight,-11.782951354980469
tons,1,tons,-13.061234474182129
tony,2,ton_##y,-22.781563758850098
too,1,too,-10.218716621398926
took,1,took,-10.024229049682617
tool,1,tool,-13.382329940795898
tooling,2,tool_##ing,-26.994741439819336
tools,1,tools,-12.85521411895752
tooth,1,tooth,-12.67977523803711
toothbrush,2,tooth_##brush,-30.853686332702637
top,1,top,-10.812620162963867
topcoats,3,top_##coat_##s,-31.58719539642334
topgallant,3,top_##gall_##ant,-39.592891693115234
topic,1,topic,-13.991333961486816
topical,2,topic_##al,-27.05927562713623
topics,1,topics,-13.83449649810791
topmost,2,top_##most,-28.302390098571777
topography,1,topography,-15.238855361938477
topped,1,topped,-12.588752746582031
topping,1,topping,-14.65756893157959
toppings,2,topping_##s,-25.33814811706543
toppled,2,top_##pled,-28.83699131011963
toppling,2,top_##pling,-27.127854347229004
tops,1,tops,-12.870495796203613
