word,nr. of tokens,tokens,word score
thorn,2,th_##orn,-18.259693145751953
thornburg,3,th_##orn_##burg,-31.10020351409912
thorny,3,th_##orn_##y,-25.55527114868164
thorough,1,thorough,-14.077760696411133
thoroughfares,3,thorough_##fare_##s,-28.64592456817627
thoroughly,1,thoroughly,-14.025008201599121
those,1,those,-11.11229419708252
thou,1,thou,-13.651477813720703
though,1,though,-10.065115928649902
thought,1,thought,-10.493017196655273
thoughtful,1,thoughtful,-14.073036193847656
thoughtfully,1,thoughtfully,-14.882567405700684
thoughtfulness,2,thoughtful_##ness,-23.222726821899414
thoughts,1,thoughts,-12.318093299865723
thousand,1,thousand,-11.46032428741455
thousands,1,thousands,-11.926090240478516
thousandth,2,thousand_##th,-24.53220272064209
thrashed,3,th_##rash_##ed,-27.845823287963867
thread,1,thread,-13.018597602844238
threaded,2,thread_##ed,-24.786151885986328
threading,2,thread_##ing,-23.30551528930664
threads,1,threads,-13.555974960327148
threat,1,threat,-12.16204833984375
threaten,1,threaten,-14.109606742858887
threatened,1,threatened,-12.425150871276855
threatening,1,threatening,-13.732613563537598
threateningly,2,threatening_##ly,-22.815134048461914
threatens,1,threatens,-13.834229469299316
threats,1,threats,-12.493536949157715
three,1,three,-9.084266662597656
threefold,2,three_##fold,-25.5381498336792
threes,2,three_##s,-20.970763206481934
threshed,3,th_##resh_##ed,-28.912919998168945
threshhold,3,th_##resh_##hold,-30.800345420837402
threshold,1,threshold,-13.39142894744873
threw,1,threw,-12.308196067810059
thrifty,3,th_##rift_##y,-32.28630256652832
thrill,1,thrill,-14.250962257385254
thrilled,1,thrilled,-15.756216049194336
thrilling,2,thrill_##ing,-24.039395332336426
thrived,3,th_##rive_##d,-27.71170139312744
thriving,1,thriving,-14.68272876739502
throat,1,throat,-12.309603691101074
throats,2,throat_##s,-21.343482971191406
throaty,2,throat_##y,-21.02712631225586
throbbed,3,th_##ro_##bbed,-30.905317306518555
throbbing,1,throbbing,-14.089254379272461
throes,3,th_##ro_##es,-27.875454902648926
throne,1,throne,-13.737127304077148
throneberry,2,throne_##berry,-26.52864170074463
throng,2,th_##rong,-20.01505947113037
throttle,3,th_##rot_##tle,-24.011527061462402
through,1,through,-9.712897300720215
throughout,1,throughout,-11.226761817932129
throw,1,throw,-12.37700366973877
throwed,2,throw_##ed,-25.340858459472656
throwing,1,throwing,-12.836708068847656
thrown,1,thrown,-12.82597541809082
throws,1,throws,-12.967726707458496
thru,2,th_##ru,-18.539287567138672
thrust,1,thrust,-13.383665084838867
thrusting,1,thrusting,-15.26829719543457
thrusts,2,thrust_##s,-24.898585319519043
thruway,3,th_##ru_##way,-30.440168857574463
thud,1,thud,-13.413444519042969
thudding,2,thud_##ding,-27.13751983642578
thumb,1,thumb,-12.488787651062012
thumbed,2,thumb_##ed,-24.454182624816895
thumbnail,2,thumb_##nail,-22.924368858337402
thump,1,thump,-13.978474617004395
thumping,2,thump_##ing,-23.764907836914062
thunder,1,thunder,-12.822454452514648
thunderclaps,4,thunder_##c_##lap_##s,-34.16359519958496
thundered,2,thunder_##ed,-25.974873542785645
thunk,2,th_##unk,-23.179725646972656
thurber,3,th_##ur_##ber,-29.57283115386963
thursday,3,th_##urs_##day,-32.41841125488281
thus,1,thus,-12.800824165344238
thy,1,thy,-13.635761260986328
thyroglobulin,5,thy_##rog_##lo_##bul_##in,-37.80129814147949
thyroid,2,thy_##roid,-24.492011070251465
thyrotrophic,4,thy_##rot_##rop_##hic,-32.51461744308472
thyrotrophin,4,thy_##rot_##rop_##hin,-34.77765703201294
thyroxine,4,thy_##ro_##xin_##e,-38.02498722076416
tiao,3,t_##ia_##o,-22.148475646972656
tiber,2,t_##iber,-22.348084449768066
tibet,3,t_##ibe_##t,-29.730713367462158
tibetan,3,t_##ibe_##tan,-34.92009496688843
tiburon,3,t_##ib_##uron,-29.44475030899048
tick,2,t_##ick,-19.451491355895996
ticker,2,t_##icker,-20.780242919921875
ticket,1,ticket,-13.963224411010742
tickets,1,tickets,-14.190654754638672
ticonderoga,4,t_##ico_##nder_##oga,-41.03306865692139
tidbits,4,t_##id_##bit_##s,-21.463585376739502
tide,1,tide,-13.235227584838867
tides,2,tide_##s,-19.750474452972412
tidewater,2,tide_##water,-24.064918518066406
tidiness,3,t_##id_##iness,-26.864957332611084
tidings,3,t_##iding_##s,-25.070252895355225
tie,1,tie,-13.16338062286377
tied,1,tied,-12.689462661743164
tiepolo,3,tie_##pol_##o,-30.282285690307617
tiered,2,tier_##ed,-23.916086196899414
ties,1,ties,-13.37810230255127
tigard,3,t_##iga_##rd,-28.858907222747803
tiger,1,tiger,-14.046121597290039
tight,1,tight,-12.20163345336914
tighten,1,tighten,-14.91474723815918
tightened,1,tightened,-13.638689041137695
tightening,1,tightening,-15.210822105407715
tighter,1,tighter,-13.866741180419922
tightest,2,tight_##est,-24.73575496673584
tightly,1,tightly,-13.5172758102417
tijuana,4,t_##i_##ju_##ana,-33.02537536621094
tile,1,tile,-12.524592399597168
tiles,1,tiles,-12.866698265075684
tilghman,3,til_##gh_##man,-34.3156852722168
till,1,till,-12.189743041992188
tillie,2,till_##ie,-26.646259307861328
tilling,2,till_##ing,-26.684897422790527
tilt,1,tilt,-14.336145401000977
tilted,1,tilted,-13.802584648132324
tilth,2,tilt_##h,-27.172887802124023
tim,2,t_##im,-20.497970581054688
timber,1,timber,-13.478501319885254
timbered,2,timber_##ed,-26.242530822753906
timberlands,2,timber_##lands,-29.18113899230957
timbers,2,timber_##s,-22.460405349731445
timbre,3,t_##im_##bre,-26.000380992889404
time,1,time,-9.830511093139648
timed,1,timed,-15.04551887512207
timeless,2,time_##less,-20.584176063537598
timeliness,2,timeline_##ss,-29.363276481628418
timely,2,time_##ly,-22.118614196777344
times,1,times,-11.547057151794434
timetable,1,timetable,-13.802507400512695
timid,3,t_##im_##id,-25.30231809616089
timidly,4,t_##im_##id_##ly,-23.44177007675171
timing,1,timing,-13.578144073486328
timothy,3,t_##imo_##thy,-30.760178089141846
tin,1,tin,-13.07211685180664
tincture,2,tin_##cture,-25.397847175598145
tinder,2,tin_##der,-26.15428066253662
tines,2,tin_##es,-25.961331367492676
tingling,1,tingling,-14.975276947021484
tiniest,2,tin_##iest,-27.884676933288574
tinkers,2,tin_##kers,-28.079283714294434
tinkling,2,tin_##kling,-29.34827709197998
tinplated,3,tin_##plate_##d,-33.38053607940674
tinsel,2,tin_##sel,-28.328227043151855
tintable,2,tin_##table,-30.63529872894287
tintype,2,tin_##type,-29.097119331359863
tiny,1,tiny,-12.051816940307617
tip,1,tip,-12.444090843200684
tipped,1,tipped,-13.61365795135498
tipping,2,tip_##ping,-26.520808219909668
tips,1,tips,-13.005258560180664
tire,1,tire,-13.657687187194824
tired,1,tired,-13.094386100769043
tiredness,2,tired_##ness,-22.874082565307617
tireless,2,tire_##less,-25.355125427246094
tirelessly,2,tire_##lessly,-29.04317569732666
tires,1,tires,-12.378732681274414
tiresome,2,tires_##ome,-27.16640567779541
tiring,2,t_##iring,-23.945810317993164
tissue,1,tissue,-13.283260345458984
tissues,1,tissues,-14.157176971435547
titan,3,t_##ita_##n,-21.366491317749023
titanium,3,t_##ita_##nium,-27.284264087677002
titer,2,t_##iter,-22.239059448242188
titers,3,t_##iter_##s,-22.831608772277832
title,1,title,-11.894000053405762
titled,1,titled,-12.500612258911133
titles,1,titles,-13.574432373046875
tits,2,t_##its,-20.933690071105957
titter,3,t_##itte_##r,-20.215135097503662
titters,3,t_##itte_##rs,-22.664759159088135
tizard,3,t_##iza_##rd,-32.16539525985718
tjokorda,4,t_##jo_##kor_##da,-41.22116565704346
tnt,2,t_##nt,-21.279006958007812
to,1,to,-6.709518909454346
toast,1,toast,-14.604683876037598
tobacco,1,tobacco,-14.722091674804688
today,1,today,-11.27466106414795
todd,2,to_##dd,-17.532187461853027
toddlers,3,to_##ddler_##s,-23.950809955596924
todman,2,to_##dman,-19.77156639099121
toe,1,toe,-13.406023025512695
toes,1,toes,-14.66917610168457
together,1,together,-10.967711448669434
toilet,1,toilet,-13.318038940429688
token,1,token,-14.732725143432617
tokens,2,token_##s,-21.687099933624268
tokyo,3,to_##ky_##o,-26.64456605911255
told,1,told,-10.074646949768066
tolerate,1,tolerate,-14.156265258789062
tolerated,2,tolerate_##d,-22.361133575439453
toleration,3,to_##ler_##ation,-23.78758668899536
toll,1,toll,-13.695255279541016
tolled,2,toll_##ed,-24.840548515319824
tolley,2,toll_##ey,-27.826229095458984
tollhouse,2,toll_##house,-26.433314323425293
tom,2,to_##m,-15.11783504486084
tomato,1,tomato,-14.196330070495605
tomatoes,2,tomato_##es,-25.40040111541748
tomb,1,tomb,-14.091609001159668
tombigbee,3,tomb_##ig_##bee,-41.5296106338501
tomblike,2,tomb_##like,-26.232181549072266
tombstones,2,tombs_##tones,-28.16944980621338
tommy,2,to_##mmy,-18.225756645202637
tomorrow,1,tomorrow,-13.12806224822998
ton,1,ton,-13.093803405761719
tonal,2,ton_##al,-24.388399124145508
tonalities,3,ton_##ali_##ties,-28.440205097198486
tonally,2,ton_##ally,-26.848703384399414
tone,1,tone,-12.44074535369873
toner,2,tone_##r,-20.810754776000977
tones,1,tones,-14.121776580810547
tongs,2,ton_##gs,-25.267512321472168
tongue,1,tongue,-12.234079360961914
tongues,1,tongues,-14.454692840576172
toni,2,ton_##i,-23.428836822509766
tonight,1,tonight,-11.782953262329102
tons,1,tons,-13.061238288879395
tony,2,ton_##y,-21.02952289581299
too,1,too,-10.218718528747559
took,1,took,-10.024232864379883
tool,1,tool,-13.382331848144531
tooling,2,tool_##ing,-20.53837490081787
tools,1,tools,-12.855216026306152
tooth,1,tooth,-12.679778099060059
toothbrush,2,tooth_##brush,-23.857152938842773
top,1,top,-10.812623023986816
topcoats,3,top_##coat_##s,-28.730005264282227
topgallant,3,top_##gall_##ant,-29.466413497924805
topic,1,topic,-13.991338729858398
topical,2,topic_##al,-20.54120635986328
topics,1,topics,-13.834500312805176
topmost,2,top_##most,-26.79972553253174
topography,1,topography,-15.238859176635742
topped,1,topped,-12.588754653930664
topping,1,topping,-14.65756893157959
toppings,2,topping_##s,-22.280301094055176
toppled,2,top_##pled,-28.197651863098145
toppling,2,top_##pling,-26.357117652893066
tops,1,tops,-12.870497703552246
torah,2,to_##rah,-20.134745597839355
torches,2,torch_##es,-25.206344604492188
tore,1,tore,-13.107329368591309
torment,1,torment,-13.80755615234375
tormented,2,torment_##ed,-24.559020042419434
tormenters,2,torment_##ers,-26.76654624938965
torn,1,torn,-13.375142097473145
tornado,1,tornado,-14.289175987243652
tornadoes,1,tornadoes,-14.592443466186523
torpedo,1,torpedo,-14.424127578735352
torpor,3,to_##rp_##or,-29.167867183685303
torque,1,torque,-12.977720260620117
torquer,2,torque_##r,-25.215859413146973
torquers,2,torque_##rs,-26.83988380432129
torrence,2,to_##rrence,-21.834755897521973
torrent,3,to_##rre_##nt,-20.419379234313965
torrents,3,to_##rre_##nts,-22.46042490005493
torrio,3,to_##rri_##o,-25.90089178085327
torso,1,torso,-13.836298942565918
torsos,2,torso_##s,-24.275432586669922
torture,1,torture,-12.756834030151367
tortured,1,tortured,-13.333043098449707
tortures,2,torture_##s,-22.233259201049805
tory,2,to_##ry,-17.30860137939453
tosca,2,to_##sca,-17.603327751159668
toss,1,toss,-14.939718246459961
tossed,1,tossed,-13.393166542053223
tossing,1,tossing,-14.371390342712402
total,1,total,-11.186691284179688
totaled,1,totaled,-14.260560989379883
totaling,1,totaling,-14.463361740112305
totalistic,2,total_##istic,-28.77726459503174
totalitarian,2,total_##itarian,-30.00571346282959
totality,2,total_##ity,-26.179903984069824
totally,1,totally,-12.664554595947266
totals,1,totals,-14.142984390258789
tote,2,to_##te,-16.26321029663086
touch,1,touch,-11.299614906311035
touchdown,1,touchdown,-13.138230323791504
touched,1,touched,-12.203838348388672
touches,1,touches,-13.427517890930176
touching,1,touching,-13.044376373291016
touchstone,2,touch_##stone,-25.956552505493164
tough,1,tough,-12.812748908996582
tougher,2,tough_##er,-23.528409957885742
toughest,2,tough_##est,-24.53408145904541
toujours,4,to_##u_##jou_##rs,-29.165842056274414
tour,1,tour,-12.350831031799316
touring,1,touring,-13.381389617919922
tourist,1,tourist,-13.020174980163574
tourists,1,tourists,-13.867666244506836
tournament,1,tournament,-12.308914184570312
tournaments,1,tournaments,-14.449572563171387
tours,1,tours,-14.424375534057617
tousled,3,to_##us_##led,-31.993096828460693
toward,1,toward,-11.398673057556152
towards,1,towards,-11.270342826843262
towboats,2,tow_##boats,-27.26542377471924
towel,1,towel,-12.480260848999023
towels,1,towels,-14.257659912109375
tower,1,tower,-12.84013843536377
towering,1,towering,-14.809369087219238
towers,1,towers,-13.730122566223145
town,1,town,-11.602874755859375
towns,1,towns,-14.074545860290527
towsley,2,tow_##sley,-27.96652603149414
toxic,1,toxic,-14.085138320922852
toynbee,3,toy_##n_##bee,-34.807576179504395
toys,1,toys,-14.972789764404297
tr,2,t_##r,-17.258718490600586
trace,1,trace,-13.24831771850586
traced,1,traced,-13.688323020935059
tracers,2,trace_##rs,-25.61225128173828
traces,1,traces,-13.935386657714844
trachea,3,t_##rac_##hea,-30.686479091644287
tracing,1,tracing,-15.213581085205078
track,1,track,-11.724932670593262
