Index	Word	Unigram_freq
0	cosmic	8.144388865547622
1	cosmical	6.734591659972948
2	cosmology	7.193685818395112
3	cosmopolitan	8.01829613851552
4	cosmopolitanism	6.586171654854675
5	cosmos	8.302761580704049
6	cosponsors	5.991464547107982
7	cossack	6.899723107284872
8	cossacks	6.028278520230698
9	cost	11.984665086509013
10	costaggini	0.0
11	costing	6.811244378601294
12	costive	7.48605261786314
13	costlier	6.376726947898627
14	costly	7.826842098158293
15	costs	10.257132911914496
16	costume	8.453827315794417
17	costumes	6.697034247666484
18	cotillion	6.807934943699926
19	cottage	8.596928159435091
20	cottages	6.884486652042782
21	cotten	6.51025834052315
22	cotter	7.575071699507561
23	cotton	10.414213171301785
24	couch	9.995200360459327
25	couched	6.848005274576363
26	couches	6.7912214627261855
27	cough	8.98054977794018
28	coughing	7.275172319452771
29	coughlin	4.30406509320417
30	could	10.471893167932329
31	coulomb	7.878534196140362
32	council	10.46817616619227
33	councilwoman	4.927253685157205
34	counsel	10.4528509640072
35	counseling	7.964503363551548
36	counselor	8.34924780056679
37	counselors	7.301822342137932
38	count	13.15798531503375
39	counted	8.039157390473237
40	countenance	8.442254104751743
41	counter	12.512185080624123
42	counteracted	6.342121418721152
43	counterattack	7.496097345175956
44	counterchallenge	5.945420608606575
45	counterpart	9.332026890232783
46	counterparts	8.849944227235596
47	counterpoint	7.7501841622578365
48	counterproposal	6.336825731146441
49	counters	10.333417605043806
50	counties	9.469005495357472
51	counting	8.269500767180615
52	countless	7.078341579557671
53	countries	10.390778393168455
54	country	11.389762986019333
55	countrymen	8.406261630708956
56	countryside	8.902455592206882
57	countrywide	6.4425401664681985
58	counts	8.615226931687603
59	county	10.01449211057904
60	coup	10.836517400414559
61	coupe	9.006754319877503
62	couperin	4.204692619390966
63	couple	9.571365838652174
64	coupled	7.116394144093465
65	coupler	7.180069874302796
66	couplers	6.016157159698354
67	couples	8.140315540159985
68	coupling	7.6676260915849905
69	coupon	7.6093665379542115
70	courage	9.440181444738114
71	courageous	7.620214770574455
72	courageously	6.3080984415095305
73	courcy	4.110873864173311
74	course	10.565995096963961
75	courses	8.977020214210413
76	court	11.94210709969571
77	courteous	7.991592282068092
78	courteously	6.490723534502507
79	courtesy	8.344505083590521
80	courthouse	7.182352111885263
81	courtier	8.334711621820917
82	courting	7.188412736496954
83	courtroom	7.5480289699350145
84	courts	10.526507289654278
85	courtyard	7.303843225277705
86	cousin	9.282568005973063
87	cousins	7.876258882303226
88	cove	11.725080867084062
89	covent	7.853604813097837
90	coventry	5.703782474656201
91	cover	11.11765818183851
92	coverage	9.029297996680608
93	coverall	6.918695219020472
94	covered	8.941807118363164
95	covering	8.080237416216702
96	coverlet	7.480428306074208
97	covers	8.505120610181969
98	covington	4.564348191467836
99	cow	11.689346313443215
100	coward	9.276408971945887
101	cowbirds	5.602118820879701
102	cowboy	7.72356247227797
103	cowhand	6.556778356158042
104	cowling	6.450470422144176
105	cowpony	5.54907608489522
106	cowpuncher	6.432940092739179
107	cows	9.051461866908694
108	cox	10.130144923150134
109	coy	9.916354418242951
110	coyness	6.853299093186078
111	coyote	7.5310163320779155
112	coyotes	6.263398262591624
113	cps	7.724888439323074
114	cr	14.818366800777897
115	crack	10.339255522574339
116	cracked	7.1808311990445555
117	crackers	6.586171654854675
118	cracking	7.385230923066573
119	crackle	8.096208271650037
120	crackling	7.3453648404168685
121	crackpot	6.915723448631314
122	crackpots	5.3230099791384085
123	cradle	8.815221555922163
124	cradled	6.481577129276431
125	craft	10.26049744037489
126	crafts	9.142382678792956
127	craftsmanship	6.720220155135295
128	craftsmen	7.81156848934518
129	crafty	7.547501682814967
130	craig	9.166388484447
131	crammed	6.620073206530356
132	cramp	9.39091039573133
133	cramps	6.698268054115413
134	crane	8.883085524404578
135	cranelike	5.991464547107982
136	cranston	4.820281565605037
137	crap	9.71842223507111
138	crash	9.108639817149843
139	crashed	6.052089168924417
140	crashing	6.932447891572509
